trial size orLarge phase dur orSmall task response rt
1 8 180 0.8 6 -0.5 comp right 0.905526726007
2 8 180 0.6 6 -1.0 comp right 0.85847981593
3 8 180 0.0 6 2.0 comp left 0.893796619641
4 8 270 0.8 6 -2.0 comp up 0.882038150059
5 8 90 0.6 6 0.0 comp up 1.01139971322
6 8 180 0.8 6 0.0 comp right 1.64639501605
7 8 0 0.8 6 0.5 equ n 1.30538215026
8 8 180 0.6 6 1.5 equ n 0.729191460525
9 8 0 0.4 6 -1.5 equ n 0.917272930415
10 8 0 0.8 6 -1.5 equ n 1.21132857521
11 8 180 0.8 6 -2.0 comp right 0.787972309835
12 8 90 0.8 6 -1.0 comp up 0.764425857595
13 8 90 0.0 6 2.0 comp down 0.811449003895
14 8 180 0.6 6 0.5 equ n 0.905531325448
15 8 180 0.8 6 0.5 equ m 0.55269483134
16 8 90 0.0 6 0.0 comp up 1.01143574218
17 8 90 0.6 6 0.5 equ m 0.870273547889
18 8 90 0.0 6 2.0 equ n 0.91732122454
19 8 270 0.0 6 0.0 equ m 1.02314898393
20 8 180 0.8 6 -1.5 equ n 0.964409912867
21 8 180 0.8 6 0.5 comp left 1.43477131007
22 8 0 0.6 6 -1.5 comp left 0.823195591589
23 8 270 0.4 6 0.5 comp down 1.08193596582
24 8 0 0.8 6 0.5 comp right 0.940819382655
25 8 0 0.8 6 1.0 comp right 0.623302375266
26 8 0 0.6 6 -1.0 comp left 0.7761605634
27 8 270 0.6 6 0.0 comp down 1.03495306463
28 8 90 0.2 6 -0.5 comp up 0.870232536212
29 8 0 0.0 6 0.5 equ m 0.905553556077
30 8 180 0.8 6 0.0 equ n 1.15251936269
31 8 180 0.8 6 -1.5 comp right 0.799671369978
32 8 90 0.8 6 -0.5 comp up 0.682112354365
33 8 270 0.6 6 2.0 equ n 1.18778825556
34 8 90 0.4 6 2.0 equ n 0.858512778587
35 8 180 0.2 6 -0.5 equ m 0.940840080138
36 8 0 0.8 6 1.5 comp right 0.846748559704
37 8 270 0.2 6 2.0 equ n 1.17600525563
38 8 90 0.8 6 -2.0 comp up 0.658566668698
39 8 0 0.6 6 0.5 comp right 0.776168229135
40 8 270 0.2 6 -1.5 equ n 2.01098423044
41 8 90 0.0 6 -2.0 equ n 1.1172221066
42 8 90 0.2 6 0.5 equ m 0.705614345348
43 8 90 0.2 6 1.0 comp down 0.893769789572
44 8 270 0.2 6 -2.0 equ n 0.929042132024
45 8 0 0.2 6 0.5 equ m 1.09372854792
46 8 180 0.0 6 -1.0 equ n 1.10546248716
47 8 180 0.2 6 -1.5 equ n 0.964445175244
48 8 0 0.6 6 2.0 comp right 0.717400028287
49 8 270 0.4 6 0.0 comp up 1.28184757991
50 8 270 0.4 6 -0.5 equ m 1.14071566527
51 8 180 0.0 6 0.5 comp left 0.811453986622
52 8 0 0.0 6 0.0 comp left 2.18738695438
53 8 270 0.0 6 -0.5 equ n 1.07017941267
54 8 90 0.4 6 0.0 comp down 1.98750140379
55 8 0 0.0 6 1.0 comp right 0.882023201877
56 8 180 0.2 6 -1.5 comp right 0.752688468781
57 8 90 0.8 6 -2.0 equ n 1.17604895031
58 8 90 0.0 6 -1.5 equ n 0.834966326347
59 8 90 0.8 6 0.0 comp up 1.1172451038
60 8 180 0.0 6 -0.5 comp right 1.03490515379
61 8 0 0.2 6 -1.0 comp left 0.776163629695
62 8 270 0.8 6 2.0 comp up 0.84677577306
63 8 180 0.4 6 -0.5 comp right 0.940819382655
64 8 180 0.2 6 2.0 equ n 1.48158211554
65 8 180 0.4 6 -2.0 comp right 0.823239669561
66 8 90 0.2 6 0.5 comp up 1.2935972339
67 8 270 0.4 6 1.0 equ n 1.68174478241
68 8 270 0.8 6 2.0 equ n 0.893769789572
69 8 0 0.6 6 -0.5 comp left 1.08203408722
70 8 270 0.6 6 -2.0 equ n 0.999610197419
71 8 180 0.2 6 1.5 equ n 0.776202724938
72 8 0 0.6 6 -0.5 equ n 1.04665902393
73 8 0 0.4 6 -1.5 comp left 0.717385080105
74 8 90 0.8 6 1.0 comp down 1.22308934451
75 8 90 0.0 6 -0.5 equ n 1.04666247351
76 8 0 0.6 6 -2.0 equ n 0.752656272698
77 8 0 0.6 6 1.0 comp right 0.929089659576
78 8 90 0.0 6 1.0 equ m 0.976103606996
79 8 270 0.6 6 1.5 comp up 0.917310109225
80 8 270 0.6 6 0.0 equ m 0.740866756892
81 8 270 0.2 6 0.0 equ m 0.776138716059
82 8 270 0.6 6 1.5 equ n 0.729162714023
83 8 90 0.6 6 2.0 comp down 0.846755458865
84 8 270 0.0 6 2.0 comp up 0.57625776491
85 8 90 0.0 6 -2.0 comp up 0.752660872138
86 8 180 0.8 6 1.0 equ n 0.776306212349
87 8 180 0.2 6 -2.0 equ n 0.846724795929
88 8 180 0.6 6 1.5 comp left 0.705603230034
89 8 0 0.6 6 1.0 equ m 0.952591267273
90 8 90 0.2 6 -1.5 equ n 0.940826665103
91 8 180 0.8 6 -2.0 equ n 0.92909042615
92 8 0 0.4 6 1.5 comp right 0.799718514243
93 8 90 0.2 6 1.5 comp down 0.752633658782
94 8 0 0.0 6 1.0 equ m 0.976092491682
95 8 270 0.2 6 -0.5 equ n 1.34065410943
96 8 180 0.0 6 1.5 equ n 2.97537152939
97 8 90 0.2 6 1.0 equ m 1.02316393211
98 8 0 0.2 6 -1.5 equ m 0.658572801285
99 8 90 0.8 6 1.5 comp down 0.988029189582
100 8 270 0.4 6 -1.0 equ n 1.1407697087
101 8 90 0.0 6 -1.0 equ m 0.952577085664
102 8 270 0.8 6 -0.5 comp down 0.964350886715
103 8 0 0.8 6 -2.0 equ n 0.917312025659
104 8 180 0.6 6 -1.0 equ m 1.19953369339
105 8 90 0.6 6 0.0 equ m 0.811477750398
106 8 270 0.6 6 1.0 comp up 0.799676352705
107 8 270 0.8 6 1.0 equ m 0.752765126122
108 8 270 0.8 6 1.5 comp up 0.729163863883
109 8 180 0.0 6 -1.5 comp right 0.870222954044
110 8 90 0.6 6 1.0 comp up 6.04478360207
111 8 270 0.0 6 -2.0 comp down 0.858510478867
112 8 0 0.8 6 -1.0 equ m 1.03488062344
113 8 180 0.0 6 -1.0 comp right 0.811481583266
114 8 0 0.8 6 1.5 equ m 1.03488330645
115 8 90 0.0 6 -1.5 comp up 0.811469318091
116 8 180 0.6 6 2.0 equ n 1.02314706749
117 8 180 0.4 6 2.0 equ n 0.776195825778
118 8 0 0.6 6 1.5 equ n 1.07016829736
119 8 180 0.4 6 -1.0 equ m 1.11723667149
120 8 180 0.2 6 1.0 equ m 0.917217737129
121 8 0 0.6 6 0.5 equ m 0.91732927356
122 8 270 0.4 6 -1.5 comp down 1.04667703841
123 8 90 0.2 6 0.0 equ m 2.916561167
124 8 180 0.6 6 -2.0 equ n 2.37559950832
125 8 90 0.6 6 2.0 equ m 1.023123687
126 8 90 0.6 6 -1.5 equ n 2.19911054487
127 8 90 0.4 6 2.0 comp down 0.882042749499
128 8 180 0.4 6 2.0 comp left 0.846726712362
129 8 90 0.4 6 -2.0 comp up 0.764445788503
130 8 270 0.4 6 2.0 comp up 0.787964644101
131 8 180 0.4 6 0.0 comp left 2.24621034851
132 8 0 0.2 6 0.0 comp left 1.25833102403
133 8 180 0.6 6 0.0 equ m 0.929078160975
134 8 180 0.6 6 0.5 comp left 1.4935314619
135 8 270 0.0 6 -0.5 comp down 1.07019206114
136 8 270 0.8 6 -1.5 equ n 0.882040449779
137 8 0 0.2 6 -2.0 comp left 0.858526960195
138 8 180 0.8 6 1.0 comp left 1.99923457645
139 8 180 0.4 6 1.5 comp left 0.717391979266
140 8 90 0.6 6 0.5 comp down 1.12898057618
141 8 180 0.2 6 0.0 equ m 0.787929765011
142 8 0 0.4 6 0.0 comp left 1.29362866341
143 8 180 0.2 6 -1.0 equ m 1.31712490509
144 8 270 0.2 6 0.5 comp down 2.35202239314
145 8 0 0.8 6 -1.0 comp left 0.752672370739
146 8 270 0.0 6 0.5 equ m 0.905537841322
147 8 270 0.0 6 -1.5 comp down 1.02314630092
148 8 90 0.6 6 -2.0 equ n 1.43475674518
149 8 270 0.2 6 1.5 equ m 0.964330955806
150 8 0 0.2 6 0.5 comp right 1.01138821462
151 8 0 0.0 6 1.5 comp right 0.882000971249
152 8 90 0.2 6 2.0 comp down 0.870270098309
153 8 0 0.2 6 -0.5 comp left 0.834972458933
154 8 0 0.2 6 -1.0 equ n 1.49356787413
155 8 180 0.4 6 -1.5 equ n 0.811463952077
156 8 0 0.4 6 -1.0 comp left 0.834979741381
157 8 90 0.8 6 -0.5 equ m 0.917276763282
158 8 270 0.0 6 -1.0 equ n 1.0701613982
159 8 270 0.6 6 -1.0 equ n 0.705584065698
160 8 0 0.0 6 2.0 comp right 0.729129751366
161 8 270 0.2 6 -1.0 equ n 1.0231440012
162 8 90 0.4 6 1.5 equ m 0.929051714193
163 8 0 0.0 6 0.0 equ n 1.64643526115
164 8 270 0.8 6 0.0 equ n 0.97603806497
165 8 180 0.8 6 2.0 comp left 0.658570118278
166 8 90 0.8 6 2.0 comp down 0.952575552517
167 8 0 0.6 6 -1.0 equ m 1.37598317831
168 8 180 0.8 6 -1.0 comp right 0.858469850476
169 8 270 0.6 6 0.5 comp up 0.799688234593
170 8 90 0.2 6 -2.0 comp up 0.846709081174
171 8 180 0.2 6 0.0 comp right 1.57587256177
172 8 0 0.0 6 2.0 equ n 1.02313786861
173 8 0 0.4 6 -2.0 comp left 0.776175128296
174 8 90 0.0 6 1.5 equ n 0.929058613353
175 8 270 0.2 6 1.0 comp up 0.940806734194
176 8 0 0.4 6 0.5 equ m 0.705602080174
177 8 270 0.2 6 -1.0 comp down 0.834982807675
178 8 270 0.8 6 1.5 equ m 0.776208474239
179 8 0 0.2 6 2.0 equ n 1.17604971689
180 8 180 0.8 6 -0.5 equ m 1.14074402849
181 8 270 0.4 6 -1.5 equ n 0.870288112784
182 8 0 0.2 6 2.0 comp right 0.776193526057
183 8 0 0.8 6 0.0 comp right 0.976077926787
184 8 180 0.4 6 1.0 equ m 1.03493888302
185 8 90 0.6 6 -2.0 comp up 0.623263663309
186 8 180 0.6 6 1.0 equ n 0.823222804946
187 8 90 0.6 6 -1.0 equ n 0.823219355365
188 8 0 0.0 6 0.5 comp right 0.740884388081
189 8 270 0.6 6 1.0 equ m 0.917271780555
190 8 0 0.0 6 1.5 equ n 1.02316009924
191 8 90 0.2 6 -1.5 comp up 0.705597097447
192 8 180 0.2 6 0.5 equ m 0.705616261781
193 8 180 0.4 6 -1.5 comp right 0.834979358094
194 8 180 0.4 6 0.0 equ n 4.55123297584
195 8 0 0.0 6 -1.5 equ n 0.952550638881
196 8 270 0.0 6 -1.0 comp down 0.952557921329
197 8 180 0.6 6 2.0 comp left 0.776197358924
198 8 180 0.0 6 -2.0 comp right 0.79972809641
199 8 180 0.2 6 1.5 comp left 0.646832346179
200 8 180 0.2 6 -0.5 comp right 0.823234686834
201 8 270 0.0 6 1.0 comp up 0.705647308005
202 8 90 0.8 6 2.0 equ m 0.82326764949
203 8 0 0.4 6 -1.0 equ n 0.882011319989
204 8 180 0.2 6 -1.0 comp right 1.37594868251
205 8 90 0.0 6 0.0 equ m 1.09369673513
206 8 0 0.8 6 -2.0 comp left 0.764431606895
207 8 0 0.0 6 -1.0 equ n 1.27009294319
208 8 180 0.6 6 1.0 comp left 0.729143166401
209 8 90 0.6 6 -1.5 comp up 0.764414358993
210 8 90 0.4 6 -1.5 comp up 0.740875572486
211 8 270 0.8 6 -1.0 equ n 0.846751625998
212 8 0 0.4 6 -2.0 equ n 0.752640941229
213 8 90 0.4 6 0.5 equ m 0.893765956705
214 8 270 0.4 6 1.5 equ n 1.05842707568
215 8 90 0.2 6 -2.0 equ n 0.882045815793
216 8 90 0.6 6 -0.5 equ m 0.905512544399
217 8 270 0.4 6 -2.0 comp down 0.787935514311
218 8 180 0.0 6 1.0 equ m 0.729148915701
219 8 270 0.6 6 -2.0 comp down 0.787937430745
220 8 180 0.8 6 2.0 equ n 0.823209006624
221 8 90 0.0 6 -0.5 comp up 0.82322817096
222 8 270 0.2 6 -1.5 comp down 0.882019752297
223 8 0 0.2 6 1.0 comp right 0.764384079343
224 8 90 0.0 6 -1.0 comp up 0.905754781597
225 8 0 0.8 6 2.0 comp right 0.811432522567
226 8 0 0.2 6 1.5 comp right 0.635048196387
227 8 0 0.6 6 0.0 comp right 1.15251208024
228 8 270 0.6 6 -1.0 comp down 0.729132051086
229 8 180 0.4 6 0.5 equ m 0.752661638712
230 8 270 0.2 6 1.0 equ n 1.03489940449
231 8 270 0.0 6 -2.0 equ n 0.870283896631
232 8 0 0.4 6 -0.5 equ m 0.776142165639
233 8 180 0.6 6 -0.5 comp right 0.858475599777
234 8 270 0.0 6 -1.5 equ n 0.776182410743
235 8 270 0.8 6 0.5 comp up 0.835003505157
236 8 0 0.6 6 0.0 equ m 0.799677119278
237 8 0 0.2 6 1.0 equ m 0.905522509853
238 8 270 0.2 6 2.0 comp up 0.729160031015
239 8 90 0.4 6 -0.5 comp up 0.811452070189
240 8 180 0.4 6 -2.0 equ n 2.0227863947
241 8 270 0.6 6 2.0 comp up 0.72910598759
242 8 270 0.4 6 -2.0 equ n 0.835005038304
243 8 90 0.4 6 -1.0 comp up 0.623298159112
244 8 90 0.8 6 0.5 equ m 0.834952144738
245 8 180 0.2 6 0.5 comp left 1.02313901847
246 8 270 0.2 6 0.5 equ m 0.964374267204
247 8 180 0.2 6 1.0 comp left 1.01139319735
248 8 0 0.8 6 2.0 equ n 0.870250167401
249 8 180 0.0 6 1.0 comp left 1.05839641274
250 8 0 0.4 6 1.5 equ n 1.04667358882
251 8 90 0.4 6 1.0 comp down 1.97573066903
252 8 90 0.6 6 1.5 comp down 0.776143315499
253 8 180 0.0 6 2.0 equ n 0.952587434405
254 8 90 0.8 6 -1.5 comp up 0.82322357152
255 8 180 0.4 6 1.0 comp left 0.87027814733
256 8 180 0.0 6 0.0 equ m 0.635061994708
257 8 180 0.0 6 0.0 comp right 0.893790487054
258 8 270 0.4 6 0.0 equ m 1.21131592675
259 8 90 0.4 6 -0.5 equ m 0.940800984893
260 8 90 0.6 6 1.5 equ m 0.811433672427
261 8 270 0.6 6 -0.5 equ n 0.823240052848
262 8 270 0.2 6 1.5 comp up 0.764387912211
263 8 90 0.2 6 2.0 equ n 1.3877098351
264 8 0 0.4 6 0.0 equ m 0.811491165433
265 8 180 0.6 6 -1.5 equ n 1.05840561162
266 8 270 0.4 6 1.0 comp up 0.81146586851
267 8 90 0.0 6 1.0 comp down 0.799712764942
268 8 180 0.8 6 1.5 equ n 0.858521594181
269 8 0 0.2 6 -1.5 comp left 0.870258216421
270 8 0 0.8 6 1.0 equ m 0.776137949485
271 8 180 0.0 6 0.5 equ n 1.27012782228
272 8 180 0.2 6 2.0 comp left 0.69383096213
273 8 90 0.6 6 -0.5 comp up 0.811393810609
274 8 90 0.4 6 1.0 equ m 1.24655607312
275 8 0 0.8 6 -0.5 comp left 0.858535392503
276 8 0 0.8 6 -1.5 comp left 0.94079561888
277 8 270 0.8 6 -0.5 equ n 1.07017941267
278 8 0 0.6 6 2.0 equ n 0.893753308244
279 8 270 0.2 6 -0.5 comp down 0.823240436134
280 8 180 0.0 6 1.5 comp left 0.952591267273
281 8 90 0.4 6 0.5 comp up 4.24565151649
282 8 0 0.2 6 1.5 equ m 1.08191335191
283 8 90 0.2 6 1.5 equ n 1.77581330564
284 8 180 0.8 6 1.5 comp left 0.940803667901
285 8 90 0.6 6 -1.0 comp up 0.811484266273
286 8 270 0.6 6 0.5 equ m 0.929065512514
287 8 270 0.4 6 0.5 equ m 0.670339319889
288 8 0 0.2 6 0.0 equ m 0.834988556976
289 8 90 0.2 6 -1.0 comp up 0.929037915871
290 8 0 0.8 6 0.0 equ m 1.18782313465
291 8 270 0.0 6 1.5 equ n 1.42297029566
292 8 90 0.8 6 0.0 equ n 0.91729554433
293 8 0 0.2 6 -2.0 equ n 0.870273164603
294 8 180 0.4 6 -0.5 equ m 0.976125071052
295 8 180 0.6 6 0.0 comp left 0.917288261883
296 8 0 0.4 6 0.5 comp left 1.599416331
297 8 270 0.2 6 0.0 comp down 0.870265498869
298 8 0 0.4 6 1.0 comp right 0.823217438932
299 8 90 0.4 6 -2.0 equ n 1.63467679157
300 8 180 0.0 6 -0.5 equ n 1.37597397943
301 8 270 0.6 6 -0.5 comp down 0.917325440693
302 8 180 0.4 6 0.5 comp left 0.81143098942
303 8 180 0.6 6 -1.5 comp right 0.776199658645
304 8 0 0.6 6 -2.0 comp left 0.823181026695
305 8 0 0.0 6 -2.0 comp left 0.670328204574
306 8 90 0.8 6 1.5 equ m 1.03491588582
307 8 0 0.6 6 -1.5 equ n 0.870285046491
308 8 180 0.6 6 -0.5 equ m 1.11722363974
309 8 0 0.2 6 -0.5 equ n 0.987850194691
310 8 180 0.2 6 -2.0 comp right 0.764425857594
311 8 270 0.4 6 1.5 comp up 0.752864397379
312 8 90 0.6 6 1.0 equ m 1.14074901122
313 8 270 0.8 6 0.0 comp down 2.64604124242
314 8 180 0.0 6 -1.5 equ n 0.823218205505
315 8 270 0.4 6 -1.0 comp down 0.811465485224
316 8 90 0.8 6 -1.5 equ n 1.70524447368
317 8 270 0.2 6 -2.0 comp down 1.09394932107
318 8 180 0.0 6 -2.0 equ n 1.17604818374
319 8 270 0.8 6 1.0 comp up 1.89337883713
320 8 90 0.0 6 1.5 comp down 0.658569734992
321 8 180 0.4 6 1.5 equ n 1.11720332555
322 8 0 0.0 6 -0.5 comp left 0.705619328075
323 8 270 0.0 6 1.5 comp up 0.717373581504
324 8 180 0.8 6 -1.0 equ m 0.834924548095
325 8 270 0.4 6 -0.5 comp down 1.11724778681
326 8 0 0.4 6 2.0 equ n 1.01136790043
327 8 180 0.6 6 -2.0 comp right 0.752658189132
328 8 0 0.4 6 2.0 comp right 0.729133200946
329 8 0 0.0 6 -1.5 comp left 0.823213606065
330 8 0 0.0 6 -1.0 comp left 0.905534391742
331 8 180 0.4 6 -1.0 comp right 0.78792171599
332 8 90 0.4 6 -1.5 equ n 0.893651353979
333 8 90 0.4 6 0.0 equ n 0.729130517939
334 8 270 0.0 6 1.0 equ m 0.940845829438
335 8 0 0.0 6 -2.0 equ n 1.49353376162
336 8 0 0.6 6 1.5 comp right 0.729112120177
337 8 0 0.8 6 -0.5 equ m 1.25837663515
338 8 270 0.8 6 -1.0 comp down 0.870262815862
339 8 90 0.4 6 1.5 comp down 0.940823982096
340 8 270 0.6 6 -1.5 comp down 0.881995221948
341 8 0 0.4 6 1.0 equ m 0.940792552586
342 8 270 0.8 6 -2.0 equ n 0.76438446263
343 8 270 0.8 6 0.5 equ m 0.740877105633
344 8 90 0.4 6 -1.0 equ n 1.12898632548
345 8 90 0.8 6 -1.0 equ n 0.740893970248
346 8 90 0.2 6 -0.5 equ m 0.740916584164
347 8 270 0.4 6 2.0 equ n 0.905512161112
348 8 0 0.4 6 -0.5 comp right 0.905538991182
349 8 90 0.0 6 0.5 comp down 0.940795235593
350 8 270 0.0 6 2.0 equ n 3.45755003904
351 8 90 0.8 6 0.5 comp up 1.45802416469
352 8 0 0.0 6 -0.5 equ m 0.740911984724
353 8 90 0.0 6 0.5 equ m 2.2109081097
354 8 270 0.6 6 -1.5 equ n 0.799692450747
355 8 270 0.0 6 0.0 comp down 0.999624379028
356 8 90 0.2 6 -1.0 equ n 0.882016686003
357 8 90 0.2 6 0.0 comp up 0.72913511738
358 8 270 0.0 6 0.5 comp down 0.999622079307
359 8 90 0.8 6 1.0 equ m 1.02316891483
360 8 270 0.8 6 -1.5 comp down 0.717377414371
