trial size orLarge phase dur orSmall task response rt
1 8 0 0.2 6 -1.5 equ m 5.02156661107
2 8 180 0.6 6 -1.0 equ m 1.27010083816
3 8 0 0.4 6 1.5 comp right 1.31712055771
4 8 180 0.4 6 -1.0 comp left 1.39948785625
5 8 180 0.8 6 1.5 comp left 1.18779869785
6 8 0 0.8 6 -1.0 equ m 1.09379337094
7 8 0 0.8 6 1.0 equ n 1.90513765061
8 8 0 0.8 6 -1.0 comp right 1.5523122935
9 8 0 0.2 6 2.0 equ m 1.91692784266
10 8 90 0.2 6 -1.5 equ n 2.54018787807
11 8 270 0.6 6 1.0 equ n 1.49356409063
12 8 270 0.4 6 1.5 comp up 1.29380923894
13 8 0 0.2 6 -1.0 comp right 1.58763380919
14 8 90 0.6 6 1.5 comp down 1.16425127623
15 8 180 0.6 6 0.0 comp left 0.77615231392
16 8 90 0.8 6 0.0 equ n 1.54060029134
17 8 90 0.2 6 1.5 comp down 0.987847604789
18 8 90 0.0 6 1.0 comp down 1.05841589585
19 8 0 0.2 6 0.0 comp right 0.905537032289
20 8 270 0.6 6 0.0 comp up 0.999620165792
21 8 90 0.4 6 -2.0 comp up 0.882045570179
22 8 0 0.0 6 -1.5 comp left 2.43436897884
23 8 0 0.6 6 0.5 equ n 1.22306118777
24 8 90 0.4 6 0.0 comp up 1.32890959986
25 8 270 0.8 6 0.5 comp up 1.01136934641
26 8 0 0.6 6 2.0 equ n 1.36417783907
27 8 180 0.4 6 1.0 comp left 1.0113494157
28 8 90 0.6 6 -1.0 equ n 1.8816247246
29 8 180 0.4 6 -0.5 equ m 1.02310741181
30 8 0 0.6 6 1.0 comp right 0.670341080404
31 8 90 0.6 6 1.0 comp down 1.24659557774
32 8 180 0.0 6 2.0 comp left 0.858489333012
33 8 180 0.8 6 -1.5 comp left 1.34065149812
34 8 90 0.0 6 2.0 equ n 6.75037188112
35 8 180 0.2 6 2.0 comp left 1.07015357795
36 8 90 0.4 6 -1.0 equ m 1.14071267017
37 8 270 0.0 6 2.0 comp up 1.76403594745
38 8 270 0.2 6 0.0 equ n 1.64642762276
39 8 90 0.0 6 -1.0 equ m 0.952593930415
40 8 180 0.8 6 -2.0 equ m 0.940785724088
41 8 0 0.4 6 -0.5 comp right 1.54056962865
42 8 90 0.6 6 -2.0 equ n 1.15249634633
43 8 90 0.0 6 0.5 comp down 0.89377213706
44 8 180 0.8 6 1.5 equ n 1.54056042986
45 8 180 0.0 6 -0.5 equ n 1.35242904176
46 8 0 0.8 6 2.0 equ n 1.72875429323
47 8 90 0.6 6 0.5 comp down 2.65781804983
48 8 180 0.6 6 -2.0 comp right 10.5606828277
49 8 180 0.8 6 2.0 equ n 2.72833651397
50 8 270 0.6 6 2.0 equ n 1.85813211254
51 8 180 0.8 6 -0.5 equ m 1.04661573848
52 8 0 0.0 6 0.5 equ n 1.12899415224
53 8 90 0.6 6 -0.5 equ n 2.10508797708
54 8 90 0.0 6 -1.5 comp up 0.940805271559
55 8 0 0.0 6 -2.0 equ m 1.55231995916
56 8 0 0.2 6 1.5 comp right 0.787934840191
57 8 180 0.2 6 2.0 equ n 2.46963798464
58 8 180 0.2 6 1.5 equ n 0.882036754629
59 8 270 0.8 6 2.0 comp up 1.42301151418
60 8 180 0.6 6 0.5 equ n 1.10547126085
61 8 180 0.4 6 2.0 comp left 1.66995473037
