trial size orLarge phase dur orSmall task response rt
1 8 270 0.2 6 -0.5 comp down 2.4931367292
2 8 90 0.4 6 -0.5 equ m 6.42104910134
3 8 180 0.2 6 1.0 comp left 1.01134519954
4 8 270 0.6 6 -1.5 equ n 3.01058169827
5 8 270 0.2 6 2.0 comp up 1.2700774578
6 8 90 0.2 6 0.0 comp down 1.42299464974
7 8 90 0.2 6 -2.0 comp down 1.14073720033
8 8 180 0.6 6 2.0 equ n 2.59902538604
9 8 270 0.4 6 -0.5 equ n 2.77539532844
10 8 180 0.2 6 2.0 equ n 2.03448787346
11 8 180 0.0 6 1.5 equ n 1.96392073232
12 8 270 0.0 6 1.5 comp up 1.02315417246
13 8 270 0.0 6 -2.0 comp down 1.32892301478
14 8 0 0.8 6 -2.0 comp left 1.01139272674
15 8 90 0.8 6 -0.5 equ m 2.57545803368
16 8 90 0.8 6 1.5 equ n 1.9992303662
17 8 90 0.4 6 0.0 comp down 3.37520031369
18 8 270 0.0 6 1.5 equ n 2.52846016129
19 8 180 0.2 6 2.0 comp left 1.10545899573
20 8 270 0.8 6 1.5 equ n 2.0697775766
21 8 270 0.8 6 -0.5 equ n 3.03411800464
22 8 270 0.8 6 -1.0 equ m 1.74049274196
23 8 90 0.2 6 1.0 comp down 0.976097657636
24 8 0 0.6 6 0.5 comp right 0.952537970967
25 8 90 0.8 6 1.0 equ n 2.65781268387
26 8 90 0.0 6 0.5 equ n 2.08158080024
27 8 270 0.4 6 2.0 equ n 2.32848990412
28 8 180 0.6 6 -2.0 equ n 1.94045686658
29 8 180 0.6 6 -1.5 equ n 1.75219822823
30 8 90 0.2 6 -0.5 equ m 2.65782686535
31 8 90 0.8 6 -0.5 comp down 1.16427848936
32 8 90 0.2 6 2.0 equ n 1.86970996534
33 8 0 0.4 6 1.0 comp right 1.12898648655
34 8 270 0.2 6 1.0 equ n 1.94043501941
35 8 180 0.6 6 0.5 comp left 1.01137241267
36 8 180 0.8 6 -1.0 equ n 1.84633425489
37 8 90 0.6 6 2.0 comp down 1.45830160062
38 8 90 0.0 6 -0.5 equ n 2.36378229022
39 8 0 0.4 6 -2.0 equ n 1.6111260379
40 8 270 0.6 6 0.5 equ n 1.91691596081
41 8 180 0.6 6 -2.0 comp right 1.01135938105
42 8 270 0.4 6 -1.0 comp down 1.76405741132
43 8 90 0.0 6 -1.5 comp up 0.964323180262
44 8 0 0.4 6 1.5 comp right 0.846742835362
45 8 90 0.8 6 -1.5 equ n 2.68130337945
46 8 90 0.8 6 0.0 comp down 3.70452117699
47 8 270 0.2 6 0.0 equ m 2.32850293576
48 8 0 0.2 6 1.5 equ n 1.63469913948
49 8 90 0.6 6 1.0 comp down 0.964300566528
50 8 90 0.0 6 1.0 comp down 0.811451982387
51 8 180 0.0 6 1.0 comp left 1.04664946743
52 8 90 0.0 6 1.5 comp up 0.752632105461
53 8 90 0.6 6 -2.0 comp down 0.905563095585
54 8 0 0.0 6 -1.5 equ n 2.76366032934
55 8 0 0.2 6 -0.5 comp right 1.75225993691
56 8 0 0.2 6 -0.5 equ n 2.12860051979
57 8 270 0.4 6 0.0 equ n 1.98744860644
58 8 90 0.8 6 -1.5 comp up 1.02313769123
59 8 0 0.2 6 0.0 comp right 1.1995448122
60 8 180 0.4 6 1.0 comp left 0.870289490384
61 8 0 0.2 6 -1.0 comp left 0.834985222493
62 8 270 0.8 6 0.5 equ n 2.32851021815
63 8 270 0.6 6 -0.5 comp down 1.43476299458
64 8 180 0.2 6 0.0 equ n 2.46962456973
65 8 180 0.8 6 1.5 comp left 0.905592225172
66 8 180 0.8 6 -2.0 equ n 2.15209658135
67 8 90 0.2 6 -1.5 comp up 1.03491868443
68 8 270 0.2 6 1.5 equ n 1.83459273991
69 8 0 0.4 6 2.0 equ n 1.46999865468
70 8 270 0.4 6 -2.0 comp down 0.870239280222
71 8 180 0.0 6 0.0 comp left 1.34069634226
72 8 180 0.6 6 2.0 comp left 0.787921808573
73 8 0 0.2 6 -1.5 comp left 1.17602575361
74 8 180 0.8 6 0.5 equ n 1.77580467553
75 8 180 0.8 6 -1.5 comp right 0.834944594419
76 8 0 0.6 6 1.0 comp right 0.893787085079
77 8 0 0.6 6 -1.0 equ m 1.75224460557
78 8 90 0.8 6 2.0 comp down 0.882037137897
79 8 270 0.0 6 1.0 equ n 1.68149272163
80 8 270 0.0 6 2.0 equ n 1.76400681786
81 8 180 0.6 6 -1.0 comp right 1.17602115421
82 8 0 0.2 6 0.0 equ n 2.0815363393
83 8 270 0.2 6 -0.5 equ n 1.79933868218
84 8 270 0.6 6 -1.5 comp down 1.31713167293
85 8 0 0.8 6 -1.0 comp left 1.17604261811
86 8 90 0.2 6 1.5 equ n 2.45787807208
87 8 270 0.4 6 2.0 comp up 0.999596018926
88 8 270 0.0 6 -1.5 comp down 0.964315897872
89 8 270 0.4 6 -1.5 comp down 0.952576682641
90 8 270 0.8 6 -1.5 equ n 2.25795917489
91 8 0 0.4 6 -1.0 comp left 0.787945955468
92 8 270 0.2 6 0.0 comp down 0.858454454195
93 8 270 0.0 6 -1.5 equ n 2.38731744673
94 8 270 0.0 6 1.0 comp up 1.03486924083
95 8 0 0.6 6 1.0 equ n 2.29326765894
96 8 180 0.4 6 -1.0 equ m 2.16385496082
97 8 270 0.4 6 1.0 equ n 1.57586469775
98 8 90 0.0 6 -0.5 comp up 1.05844464214
99 8 0 0.6 6 0.5 equ n 2.15212111152
100 8 0 0.0 6 -1.5 comp left 1.34081707668
101 8 0 0.0 6 0.0 equ n 4.43362234207
102 8 90 0.0 6 -1.0 equ n 2.45789033713
103 8 90 0.6 6 0.0 comp down 2.68130836214
104 8 180 0.6 6 1.0 comp left 0.75263593829
105 8 270 0.0 6 0.0 equ m 1.9051660136
106 8 0 0.8 6 1.0 equ n 1.74052225481
107 8 180 0.4 6 -2.0 comp right 0.799678654876
108 8 0 0.4 6 -1.0 equ m 1.64645100309
109 8 180 0.6 6 1.0 equ n 1.3994602598
110 8 0 0.4 6 2.0 comp right 0.893756422389
111 8 90 0.4 6 -1.5 equ m 1.71695298603
112 8 90 0.4 6 0.0 equ m 1.30536562781
113 8 90 0.2 6 -2.0 equ n 2.03452351887
114 8 270 0.4 6 0.5 equ n 2.21091607504
115 8 0 0.8 6 -0.5 comp right 1.0113770121
116 8 270 0.4 6 -0.5 comp down 1.10545707931
