trial size orLarge phase dur orSmall task response rt
1 8 90 0.4 6 2.0 comp down 0.740906392212
2 8 180 0.2 6 0.5 equ m 0.99963012691
3 8 90 0.0 6 -1.0 equ n 1.19959041826
4 8 90 0.2 6 -1.5 equ n 1.34071942424
5 8 270 0.0 6 -0.5 comp down 0.976083201131
6 8 270 0.4 6 -2.0 equ n 0.91730864242
7 8 90 0.8 6 0.5 comp down 0.693842053842
8 8 180 0.0 6 -1.5 equ n 2.17570619888
9 8 0 0.8 6 2.0 equ n 0.882036164773
10 8 90 0.4 6 -1.0 equ m 1.19958045276
11 8 180 0.6 6 0.5 comp left 0.670338822914
12 8 180 0.4 6 0.5 comp left 0.823244358094
13 8 180 0.0 6 -2.0 equ n 0.858478506924
14 8 90 0.2 6 -2.0 equ n 0.682136432959
15 8 0 0.4 6 -0.5 comp right 0.752652641641
16 8 0 0.0 6 0.5 equ m 2.37562701154
17 8 0 0.0 6 0.0 equ m 0.987899975584
18 8 180 0.2 6 1.0 equ n 0.717374031383
19 8 0 0.4 6 -1.0 equ n 1.42301216212
20 8 180 0.2 6 0.0 comp left 0.682098104142
21 8 90 0.8 6 1.5 comp down 0.764403873817
22 8 0 0.6 6 1.0 equ n 1.63468459024
23 8 270 0.0 6 1.0 comp up 1.63466465926
24 8 90 0.6 6 0.0 equ m 1.29365431929
25 8 180 0.0 6 0.0 comp left 1.83464258186
26 8 90 0.4 6 -1.0 comp up 1.1878092896
27 8 0 0.2 6 0.0 equ m 1.01139017471
28 8 270 0.6 6 -0.5 equ m 0.99961134579
29 8 270 0.8 6 1.5 comp up 0.811432949675
30 8 270 0.0 6 -2.0 equ n 0.717382463723
31 8 180 0.4 6 1.5 comp left 0.729166275393
32 8 270 0.0 6 1.5 equ n 1.05843496539
33 8 0 0.0 6 2.0 comp right 0.623305530887
34 8 180 0.4 6 -1.5 comp right 0.836743767639
35 8 0 0.8 6 0.0 equ m 1.01140933912
36 8 180 0.2 6 -1.0 comp left 3.6810363959
37 8 270 0.8 6 1.5 equ n 1.0466580529
38 8 270 0.0 6 1.5 comp up 1.35245877448
39 8 90 0.0 6 0.0 comp down 1.47003855496
40 8 180 0.4 6 -2.0 comp right 0.729157843054
41 8 0 0.2 6 1.0 comp right 0.693862751404
42 8 180 0.0 6 -0.5 equ m 1.95225149224
43 8 270 0.2 6 -1.5 equ m 0.964335418549
44 8 180 0.4 6 1.5 equ n 0.787946200139
45 8 90 0.4 6 -1.5 equ n 1.49355558426
46 8 0 0.2 6 -1.5 equ n 1.68173704668
47 8 270 0.2 6 0.0 equ n 1.34072134068
48 8 0 0.6 6 -2.0 comp left 0.693891881305
49 8 180 0.8 6 -2.0 comp right 0.787925502577
50 8 180 0.8 6 -2.0 equ n 2.26978006541
51 8 0 0.2 6 -1.0 comp left 1.50532598084
52 8 180 0.8 6 -1.5 comp right 0.905520231292
53 8 0 0.8 6 -1.0 equ m 1.42297919933
54 8 0 0.6 6 2.0 comp right 0.587988975099
55 8 180 0.0 6 0.5 comp left 0.764421888361
56 8 270 0.0 6 -1.0 equ n 0.929064857342
57 8 270 0.6 6 2.0 comp up 2.04630236148
58 8 180 0.4 6 -1.0 equ m 1.55238227016
59 8 180 0.0 6 1.5 comp left 0.693864667845
60 8 0 0.4 6 -1.5 comp left 0.811436782556
61 8 180 0.6 6 2.0 equ n 0.95259108556
62 8 270 0.2 6 0.5 comp up 0.987903808466
63 8 90 0.8 6 -1.5 comp up 0.776184235894
64 8 90 0.4 6 1.0 comp down 0.729167808546
65 8 0 0.8 6 0.5 equ n 1.28189580464
66 8 270 0.6 6 2.0 equ n 0.858468158143
67 8 270 0.6 6 -2.0 equ n 0.952596068307
68 8 180 0.6 6 -2.0 equ n 0.811435632692
69 8 180 0.4 6 -0.5 comp left 1.63469877191
70 8 270 0.0 6 1.0 equ n 1.25836574354
71 8 270 0.2 6 -0.5 comp down 1.1995241094
72 8 0 0.2 6 0.5 equ n 1.46982812975
73 8 270 0.4 6 -1.0 equ n 0.787969197429
74 8 0 0.2 6 1.5 comp right 0.576285653945
75 8 90 0.6 6 -1.5 comp up 0.846749888751
76 8 180 0.2 6 -1.5 equ n 0.952593768577
77 8 90 0.0 6 0.5 comp down 0.811490442901
78 8 0 0.4 6 0.0 equ m 1.12897762095
79 8 270 0.6 6 1.5 comp up 0.70565154582
80 8 90 0.2 6 0.0 equ m 0.987865862937
81 8 0 0.8 6 -0.5 equ m 0.835015137967
82 8 0 0.6 6 -1.5 equ m 0.846787067704
83 8 270 0.6 6 -1.5 comp down 0.823250873993
84 8 180 0.0 6 1.0 equ n 1.68171519925
85 8 0 0.2 6 -1.5 comp left 0.870284166021
86 8 0 0.6 6 -1.0 comp left 0.670353387865
87 8 270 0.2 6 -2.0 comp down 0.799705864654
88 8 90 0.8 6 0.0 comp down 0.846742989563
89 8 0 0.0 6 0.5 comp right 0.729181990208
90 8 90 0.2 6 0.5 equ n 1.423038609
91 8 180 0.0 6 0.0 equ m 0.823243591517
92 8 270 0.0 6 -1.5 equ n 1.30540708462
93 8 90 0.6 6 0.5 comp down 0.752667973169
94 8 270 0.6 6 -1.0 comp down 0.846812748011
95 8 180 0.4 6 -1.5 equ n 1.7287868201
96 8 270 0.6 6 0.5 comp up 0.658582991281
97 8 270 0.6 6 0.0 equ m 0.976082051266
98 8 90 0.4 6 2.0 equ n 0.834999423151
99 8 180 0.8 6 -1.5 equ n 1.18777594353
100 8 270 0.4 6 0.0 comp up 2.30503912797
101 8 90 0.6 6 1.0 equ n 1.1995758533
102 8 270 0.0 6 -0.5 equ m 3.05771246718
103 8 0 0.2 6 -2.0 equ n 5.38625750909
104 8 0 0.0 6 -1.5 equ n 2.90484411095
105 8 90 0.8 6 -0.5 comp down 5.06873890141
106 8 90 0.4 6 1.5 comp down 1.30541590025
107 8 0 0.2 6 2.0 equ n 1.10548205579
108 8 90 0.4 6 0.0 comp down 0.917332406287
109 8 180 0.8 6 1.5 equ n 1.21131750328
110 8 90 0.6 6 -1.0 comp down 1.81111213747
111 8 0 0.0 6 -2.0 equ n 1.04661819093
112 8 0 0.4 6 1.0 comp right 0.646845174191
113 8 90 0.8 6 1.0 comp down 0.905519081427
114 8 180 0.4 6 -2.0 equ n 1.01139209115
115 8 0 0.6 6 1.5 comp right 0.67034610539
116 8 180 0.8 6 -1.0 comp right 1.25832434842
117 8 270 0.8 6 0.0 comp up 0.929082488598
118 8 180 0.8 6 -1.0 equ m 1.61117407684
119 8 0 0.2 6 -1.0 equ m 0.78791438722
120 8 270 0.6 6 -0.5 comp down 3.44577488029
121 8 270 0.2 6 0.5 equ n 1.81112823557
122 8 0 0.0 6 0.0 comp right 0.834987157929
123 8 270 0.6 6 1.0 equ n 1.59941977836
124 8 90 0.4 6 -1.5 comp up 0.646794580152
125 8 180 0.8 6 -0.5 equ m 1.50533901264
126 8 270 0.4 6 -2.0 comp down 1.10548358894
127 8 180 0.0 6 -1.5 comp right 0.787943517121
128 8 180 0.6 6 -1.5 equ n 0.85850457052
129 8 0 0.6 6 -0.5 comp right 1.82285033785
130 8 90 0.0 6 1.5 equ n 1.5406597846
131 8 270 0.0 6 0.0 comp down 2.43439505436
132 8 0 0.0 6 2.0 equ n 0.940805357448
133 8 0 0.4 6 1.5 equ n 0.882008951312
134 8 0 0.0 6 -0.5 equ m 0.987876211718
135 8 180 0.6 6 -0.5 comp left 1.44647744752
136 8 270 0.2 6 2.0 comp up 0.682124934314
137 8 0 0.6 6 -1.5 comp left 1.55241599952
138 8 90 0.4 6 -2.0 comp up 0.752667973168
139 8 0 0.4 6 -0.5 equ m 1.70526135846
140 8 0 0.4 6 -2.0 comp left 0.729106482438
141 8 0 0.0 6 1.0 equ n 1.35251473456
142 8 0 0.4 6 0.5 equ n 0.811462462864
143 8 0 0.4 6 -1.0 comp left 0.799681717499
144 8 180 0.2 6 1.5 comp left 0.72911644793
145 8 270 0.8 6 -1.5 comp down 0.870273433952
146 8 180 0.0 6 2.0 equ n 1.09369632768
147 8 90 0.2 6 2.0 equ n 1.91692190465
148 8 180 0.2 6 0.5 comp left 0.682107686346
149 8 0 0.8 6 -0.5 comp left 1.85814581279
150 8 90 0.0 6 -2.0 comp up 0.940810340195
151 8 90 0.0 6 2.0 comp down 0.740902942618
152 8 180 0.4 6 -0.5 equ m 2.19921671228
153 8 90 0.2 6 -1.0 equ m 1.31715678364
154 8 90 0.4 6 -2.0 equ n 0.858506103673
155 8 90 0.0 6 0.0 equ m 0.99963434308
156 8 180 0.8 6 1.0 equ n 0.611561197898
157 8 0 0.8 6 -1.0 comp left 3.59868846452
158 8 90 0.0 6 -1.5 comp up 1.15248851764
159 8 90 0.0 6 0.5 equ n 1.4465234421
160 8 90 0.4 6 -0.5 equ m 0.858486555976
