trial size orLarge phase dur orSmall task response rt
1 8 270 0.2 6 0.0 comp down 1.77582029748
2 8 180 0.4 6 1.0 comp left 1.28182695208
3 8 270 0.8 6 1.5 equ n 1.78715864138
4 8 270 0.4 6 -1.5 equ n 0.917275547206
5 8 270 0.6 6 -2.0 comp down 0.799703567198
6 8 90 0.4 6 0.0 comp up 0.999601383353
7 8 90 0.0 6 1.0 comp down 1.51704603601
8 8 270 0.4 6 -2.0 equ n 1.34087549247
9 8 270 0.4 6 1.5 comp up 0.929080349233
10 8 0 0.6 6 -2.0 comp left 0.858482274782
11 8 0 0.0 6 1.5 comp right 0.740885381232
12 8 0 0.4 6 1.0 comp right 0.752655687589
13 8 0 0.4 6 -0.5 comp left 0.87025334771
14 8 180 0.6 6 2.0 comp left 0.987846025122
15 8 0 0.4 6 -2.0 comp left 0.82321198395
16 8 90 0.0 6 -1.5 equ n 1.14076571958
17 8 180 0.2 6 1.5 comp left 0.881984942256
18 8 0 0.6 6 -0.5 equ n 1.9169512879
19 8 90 0.4 6 -0.5 equ m 1.36418920033
20 8 90 0.8 6 0.0 comp up 1.30540589332
21 8 0 0.6 6 1.0 equ m 1.54059278128
22 8 0 0.8 6 2.0 equ n 1.36420338188
23 8 0 0.6 6 -1.5 equ n 0.858497606192
24 8 270 0.2 6 0.5 comp down 1.74049787986
25 8 180 0.0 6 -2.0 equ n 1.02313164736
26 8 180 0.0 6 -1.0 comp right 0.729122740582
27 8 0 0.6 6 0.0 equ n 1.27012065436
28 8 0 0.2 6 0.0 equ n 1.31706772995
29 8 90 0.4 6 1.0 comp down 1.24659115692
30 8 0 0.4 6 0.0 equ n 3.88087801449
31 8 0 0.0 6 -2.0 equ n 0.787785696026
32 8 90 0.8 6 2.0 comp down 0.776161038058
33 8 0 0.4 6 0.5 equ m 1.0466638278
34 8 0 0.4 6 -1.0 equ n 1.14076227001
35 8 180 0.8 6 -1.5 equ n 1.31714630343
36 8 270 0.6 6 0.0 comp down 1.6464109362
37 8 0 0.6 6 -2.0 equ n 0.964341057936
38 8 0 0.2 6 -1.0 equ n 0.776151455928
39 8 0 0.6 6 2.0 comp right 0.823205851386
40 8 270 0.0 6 0.5 equ m 1.37617222999
41 8 180 0.0 6 -2.0 comp right 0.764401080405
42 8 0 0.8 6 -2.0 equ n 0.858499139333
43 8 180 0.2 6 -1.0 equ n 1.36418881704
44 8 270 0.0 6 1.5 comp up 0.846740331535
45 8 90 0.8 6 -1.0 equ n 2.1286274594
46 8 0 0.6 6 0.5 comp right 1.22305744334
47 8 180 0.8 6 1.5 comp left 0.940817309775
48 8 180 0.0 6 1.5 comp left 0.976128995413
49 8 0 0.8 6 -0.5 equ m 1.16427528619
50 8 180 0.4 6 -1.0 equ n 1.45826196243
51 8 180 0.0 6 -1.0 equ n 4.25722348941
52 8 0 0.6 6 1.5 comp right 0.82323843063
53 8 270 0.8 6 1.5 comp up 0.917271714354
54 8 180 0.4 6 2.0 equ n 1.07022283821
55 8 270 0.0 6 2.0 equ n 1.12898889738
56 8 90 0.8 6 -2.0 comp up 0.882012922079
57 8 180 0.6 6 -0.5 equ m 1.7522244917
58 8 270 0.2 6 1.0 equ m 1.2583269676
