trial size orLarge phase dur orSmall task response rt
1 8 270 0.0 6 1.5 equ n 0.776197358926
2 8 0 0.2 6 1.0 comp right 0.811459352635
3 8 180 0.0 6 -0.5 equ m 0.787914433542
4 8 0 0.8 6 0.0 comp left 0.882017452575
5 8 270 0.0 6 -2.0 equ n 1.08194056526
6 8 0 0.0 6 -0.5 comp left 0.81143213928
7 8 0 0.2 6 1.5 comp right 0.729123618778
8 8 90 0.4 6 -1.0 comp up 0.787889519906
9 8 270 0.4 6 -1.5 comp down 0.846713297327
10 8 270 0.4 6 2.0 equ n 0.693876189962
11 8 0 0.6 6 -1.5 equ n 0.823255001029
12 8 90 0.0 6 -1.0 comp up 1.19953254353
13 8 0 0.0 6 0.0 comp left 3.61038829626
14 8 0 0.8 6 -2.0 comp left 0.717393512412
15 8 90 0.0 6 1.0 comp up 4.85699381337
16 8 90 0.4 6 0.5 comp down 1.04664714204
17 8 90 0.2 6 1.5 equ n 1.32890713845
18 8 180 0.2 6 -0.5 comp right 1.64644177703
19 8 90 0.4 6 1.5 equ n 0.917312408945
20 8 90 0.0 6 -0.5 comp down 1.17598992416
21 8 90 0.8 6 2.0 comp down 0.787966560534
22 8 180 0.4 6 0.5 comp left 0.623286277225
23 8 90 0.4 6 -2.0 equ n 0.611553487852
24 8 0 0.2 6 -2.0 equ n 0.776172062002
25 8 270 0.6 6 -1.0 equ n 0.658543671496
26 8 180 0.0 6 1.0 equ m 0.952582451679
27 8 90 0.2 6 -0.5 equ n 0.705642325278
28 8 0 0.2 6 -1.5 comp left 1.03489672148
29 8 270 0.6 6 -2.0 comp down 1.63467449185
30 8 270 0.6 6 -1.0 comp down 0.799698966621
31 8 180 0.8 6 2.0 comp left 0.764415892141
32 8 180 0.2 6 0.0 comp left 1.48178909036
33 8 90 0.8 6 -0.5 equ n 1.0113717333
34 8 270 0.6 6 -2.0 equ n 0.729165780316
35 8 90 0.8 6 1.0 equ m 0.799697433473
36 8 270 0.0 6 2.0 comp up 0.823192525295
37 8 270 0.0 6 0.0 comp down 0.905491463631
38 8 180 0.6 6 -1.0 equ m 0.905500662511
39 8 180 0.8 6 1.5 comp left 1.38773321559
40 8 0 0.4 6 -2.0 comp left 1.18784881486
41 8 90 0.6 6 0.5 equ n 0.658538688769
42 8 180 0.6 6 -2.0 comp right 1.15251399667
43 8 0 0.2 6 0.5 comp right 1.07019742715
44 8 0 0.4 6 -0.5 comp left 1.37595289866
45 8 270 0.8 6 1.5 comp up 0.905539374467
46 8 0 0.4 6 -0.5 equ n 1.21131094402
47 8 90 0.8 6 -1.5 comp up 1.50535509022
48 8 0 0.2 6 1.5 equ n 0.635045896666
49 8 180 0.6 6 -1.0 comp left 1.12898709205
50 8 90 0.2 6 -1.5 equ n 1.37571449433
51 8 180 0.0 6 1.5 equ n 1.08192255079
52 8 0 0.6 6 2.0 equ n 0.529231552315
53 8 0 0.8 6 1.0 equ n 0.740930765773
54 8 0 0.4 6 1.0 comp right 0.811452836762
55 8 0 0.8 6 -1.5 comp left 0.870220271037
56 8 270 0.6 6 0.0 comp down 1.37573135895
57 8 0 0.8 6 0.5 equ n 0.564703970429
58 8 0 0.4 6 0.5 comp right 1.07017711295
59 8 90 0.0 6 2.0 equ n 0.729112120178
60 8 90 0.2 6 1.0 comp down 2.14032701255
61 8 90 0.0 6 0.0 equ n 0.705615495208
62 8 180 0.6 6 -1.5 comp right 0.83497284222
63 8 180 0.8 6 -1.0 equ n 1.19954480871
64 8 90 0.2 6 2.0 equ n 0.599772404354
65 8 180 0.8 6 2.0 equ n 0.658575484293
66 8 180 0.6 6 0.0 equ n 0.776182027457
67 8 180 0.2 6 2.0 comp left 0.905694988871
68 8 90 0.4 6 0.5 equ n 0.82323507012
69 8 270 0.2 6 -0.5 equ m 0.976103223709
70 8 0 0.4 6 0.5 equ m 0.799719280816
71 8 270 0.0 6 1.0 comp up 1.199547875
72 8 180 0.8 6 -2.0 equ n 0.917303976637
73 8 270 0.2 6 0.0 equ n 1.29360221663
74 8 0 0.4 6 2.0 equ n 0.905518676986
75 8 180 0.2 6 1.0 equ n 1.04664675876
76 8 270 0.8 6 -1.5 comp up 0.96433632182
77 8 90 0.0 6 1.0 equ n 1.23485432997
78 8 270 0.2 6 1.5 comp up 0.58802006736
79 8 270 0.2 6 -2.0 comp down 1.01136138456
80 8 90 0.4 6 -0.5 equ n 0.905570037405
81 8 270 0.2 6 1.5 equ m 1.35242906034
82 8 0 0.4 6 -1.0 comp right 1.08197352792
83 8 0 0.2 6 -0.5 equ n 1.3406663746
84 8 0 0.0 6 2.0 equ n 1.35242331104
85 8 0 0.4 6 -1.5 equ n 2.41083697168
86 8 0 0.8 6 -0.5 comp right 0.68209548975
87 8 270 0.6 6 -0.5 comp up 0.823221655086
88 8 180 0.0 6 0.5 equ n 0.646810498836
89 8 90 0.4 6 0.0 comp down 1.2936604762
90 8 0 0.6 6 1.5 comp right 0.97607524378
91 8 0 0.4 6 2.0 comp right 0.717155108081
92 8 270 0.8 6 0.0 comp up 1.38769028748
93 8 180 0.8 6 0.0 comp right 1.78756142648
94 8 270 0.8 6 -2.0 comp down 1.08196586219
95 8 270 0.2 6 1.0 comp up 0.952628062796
